userName,score,at,content
Linda Saja,5,2026-05-03 00:37:49,aplikasi bagus kren
Dhidan Akbar,1,2026-05-02 20:26:38,percuma ada yt music tetep aja ada iklan gabisa di download harus premium sama aja kaya dengerin yt cuh
Rifqi Dharmawan99,4,2026-05-02 18:55:17,bagus aplikasiya
Anisa Indi Syahputri,2,2026-05-02 18:13:03,"versi terbaru lirik sama radio nya kok misah gitu, biasanya tiap dengerin musik lirik langsung dibagian kanan, sekarang kudu dipencet lirik dulu, terus ngebug lagi kek kotak nya ga menyeluruh kalo pake landscape, BAGUSAN VERSI LAMA"
astomi Rumli,5,2026-05-02 16:12:09,Top
KHOIRUL RIZQI,1,2026-05-02 15:50:12,minimal bisa di latar belakang tanpa premium dulu mending Spotify
Gion lee mis Giono,5,2026-05-02 15:33:11,good...
Sulis tiyawati,5,2026-05-02 14:51:26,bagus tpi kenapa Sekang jdi beda aneh
Muhamad Rifko,5,2026-05-02 14:33:22,tlg bisa donlonw
Padilah Padil,5,2026-05-02 13:31:39,Mantap lah
Sudirman,5,2026-05-02 12:47:15,Mantap
Bukhari Hadi,4,2026-05-02 12:10:48,"Kenapa kalo mode pro video tidak jalan, hanya gambar thumbnail padahal kalo tidak pro normal, tidak pernah seperti itu? mending tidak usah pro"
panji. resnu,3,2026-05-02 11:09:34,min kenapa pas ganti lagu liriknya gak keganti kayak liriknya masih sama kayak lagu sebelumnya
mas rowo tong,5,2026-05-02 10:28:09,bagus aplikasi nya tapi kok habis di upgrade malah gak sesuai ya lirik dengan lagu nya tolong plis perbaiki!
Virdan Tanribali,3,2026-05-02 10:03:57,Aplikasi memang berguna tapi harus berbayar karena abis waktu tapi saya tidak punya duit kalau bayar seberapa bulan itu? Tolong update lagi dan hilangkan pembayarannya
Sinta Huse,5,2026-05-02 09:07:21,Aplikasi terbaik
mirza satria,4,2026-05-02 09:06:07,"Oke sih, akhirnya fitur pembatasan liriknya udah di hapus, jadi makin syg, tapi aku nemuin suatu bug, yaitu saat membuka lirik, lirik yang di berikan beda sama lagunya, jadi harus denger ulang lagunya tolong di perbaiki, krna yang sebelumnya pas sebelum di batasin sebulan cuma beberapa kali, itu liriknya mantep banget, itu aja sih, dan jangan di Batasin lagi yah 🥹❤️"
Nurul Istiqomah,5,2026-05-02 08:51:12,"𝘢𝘱𝘭𝘪𝘬𝘢𝘴𝘪𝘯𝘺𝘢 𝘣𝘢𝘨𝘶𝘴 𝘢𝘬𝘶 𝘴𝘶𝘬𝘢, 𝘨𝘬 𝘯𝘺𝘦𝘴𝘦𝘭 𝘴𝘪 𝘥𝘰𝘸𝘯𝘭𝘰𝘢𝘥 𝘢𝘱𝘭𝘪𝘬𝘢𝘴𝘪 𝘪𝘯𝘪, 𝘣𝘪𝘴𝘢 𝘥𝘦𝘯𝘨𝘦𝘳𝘪𝘯 𝘭𝘢𝘨𝘶 𝘴𝘦𝘱𝘶𝘢𝘴 𝘩𝘢𝘵𝘪"
lanang hamdallahfawzi,1,2026-05-02 07:11:13,algoritma lu jelek bgt ajg
Fatimah Sukabumi,5,2026-05-02 06:47:35,keren banget musuk nya gan
Lixie,4,2026-05-02 06:02:09,"Hello! I noticed after the new ui(?) or layout is updated, the lyrics tend to not upload properly after I change to play another song. please fix it! thank you!!"
Muhammad Yusran,5,2026-05-02 05:59:09,Bagus Ndak ada iklan nya
Nadifatul Munawaroh,5,2026-05-02 05:24:15,"suka banget, favorit pokoknya"
Ceria Pekalongan,5,2026-05-02 04:50:57,Ok
Rakhana Ace,4,2026-05-02 04:32:03,"lebih suka versi yg sbelumnya:( ,yang sekarang lagunya acak banget jadi aneh ,di tambah vitur yg juga berubah jadi bikin bingung"
Rijul Putra,5,2026-05-02 03:53:06,GK bisa nindlod
Mahfud Sidiq,5,2026-05-02 00:20:42,Aplikasi ini bagus enak didengar
Firnia Susilowati,1,2026-05-01 22:55:29,"sinyal bagus, internet masih banyak, tapi loading error"
Ngembal Saja,5,2026-05-01 22:49:09,Baik baguss
